id,Genome_type,Length,N_contigs,N50,GC_content,Completeness,Contamination,rRNA_5S,rRNA_16S,rRNA_23S,tRNAs,Genome_accession,Species_rep,lineage,url,assembly
MGYG000001278,MAG,900163,280,3420,46.65,58.22,0.08,0,23.16,0,13,GUT_GENOME095591,MGYG000001278,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__DNF00809;s__DNF00809 sp001552935,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001278/genome/MGYG000001278.fna,MGYG000001278.fna.gz
MGYG000001279,MAG,4682858,683,9697,62.12,96.48,1.7,92.44,0,6.32,18,GUT_GENOME095592,MGYG000001279,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fulva,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001279/genome/MGYG000001279.fna,MGYG000001279.fna.gz
MGYG000001280,MAG,1499839,45,56419,42,86.88,0,0,0,0,20,GUT_GENOME095596,MGYG000001280,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Fastidiosipilaceae;g__KA00274;s__KA00274 sp902373515,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001280/genome/MGYG000001280.fna,MGYG000001280.fna.gz
MGYG000001281,MAG,1450753,154,15493,47.03,94.37,0.32,0,0,0,16,GUT_GENOME095597,MGYG000001281,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__28L;s__28L sp000177555,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001281/genome/MGYG000001281.fna,MGYG000001281.fna.gz
MGYG000001283,MAG,1508369,17,214743,53.04,96.45,0.06,0,0,0,20,GUT_GENOME095609,MGYG000001283,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia wiggsiae,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001283/genome/MGYG000001283.fna,MGYG000001283.fna.gz
MGYG000001284,MAG,1886588,505,4305,65.79,83.48,2.88,0,0,0,16,GUT_GENOME095650,MGYG000001284,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001284/genome/MGYG000001284.fna,MGYG000001284.fna.gz
MGYG000001285,MAG,2350339,190,21562,66.14,91.96,2.21,0,24.33,0,19,GUT_GENOME095685,MGYG000001285,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373545,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001285/genome/MGYG000001285.fna,MGYG000001285.fna.gz
MGYG000001286,MAG,2794921,120,37385,60.16,95.97,0.81,0,0,0,20,GUT_GENOME095707,MGYG000001286,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__UMGS1872 sp902373635,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001286/genome/MGYG000001286.fna,MGYG000001286.fna.gz
MGYG000001287,MAG,1594520,37,76496,42.24,100,0.7,0,99.61,99.18,20,GUT_GENOME095712,MGYG000001287,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale_G,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001287/genome/MGYG000001287.fna,MGYG000001287.fna.gz
MGYG000001288,MAG,1882142,70,33259,38.79,100,0.6,0,0,0,19,GUT_GENOME095850,MGYG000001288,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001288/genome/MGYG000001288.fna,MGYG000001288.fna.gz
MGYG000001289,MAG,1985520,63,53325,41.61,97.18,0.18,93.28,0,55.79,10,GUT_GENOME095879,MGYG000001289,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp900543065,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001289/genome/MGYG000001289.fna,MGYG000001289.fna.gz
MGYG000001290,MAG,1324974,279,6218,57.34,80.43,0,94.12,0,11.38,8,GUT_GENOME095922,MGYG000001290,d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__CABKMX01;s__CABKMX01 sp902373595,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001290/genome/MGYG000001290.fna,MGYG000001290.fna.gz
MGYG000001291,Isolate,1986740,2,1797577,32.07,99.39,0,94.12,99.74,99.76,20,GUT_GENOME095934,MGYG000001291,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Finegoldia;s__Finegoldia magna_H,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001291/genome/MGYG000001291.fna,MGYG000001291.fna.gz
MGYG000001292,Isolate,2832748,1,2832748,59.86,100,0,0,99.67,99.35,20,GUT_GENOME095938,MGYG000001292,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium infantis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001292/genome/MGYG000001292.fna,MGYG000001292.fna.gz
MGYG000001293,Isolate,3010111,1,3010111,46.69,99.46,0,94.12,99.67,99.83,20,GUT_GENOME095939,MGYG000001293,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus rhamnosus,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001293/genome/MGYG000001293.fna,MGYG000001293.fna.gz
MGYG000001294,Isolate,2655653,37,281297,47.8,100,0.11,0,99.54,99.79,20,GUT_GENOME095941,MGYG000001294,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001294/genome/MGYG000001294.fna,MGYG000001294.fna.gz
MGYG000001295,Isolate,3663932,3,2716392,60.77,99.41,0,94.12,99.61,99.76,20,GUT_GENOME095942,MGYG000001295,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio fairfieldensis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001295/genome/MGYG000001295.fna,MGYG000001295.fna.gz
MGYG000001296,Isolate,1942827,4,1937622,41.85,99.38,0,94.96,99.67,99.83,20,GUT_GENOME095943,MGYG000001296,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus acidilactici,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001296/genome/MGYG000001296.fna,MGYG000001296.fna.gz
MGYG000001297,Isolate,1705064,11,1666401,30.85,99.37,0.11,0,99.74,99.79,20,GUT_GENOME095944,MGYG000001297,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D coli,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001297/genome/MGYG000001297.fna,MGYG000001297.fna.gz
MGYG000001298,Isolate,2598321,4,1486973,41.47,99.45,0,94.96,99.67,99.83,20,GUT_GENOME095952,MGYG000001298,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria;s__Listeria grayi,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001298/genome/MGYG000001298.fna,MGYG000001298.fna.gz
MGYG000001299,Isolate,2191053,19,291535,38.1,100,0,0,99.67,99.73,20,GUT_GENOME095962,MGYG000001299,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Amedibacillus;s__Amedibacillus dolichus,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000012/MGYG000001299/genome/MGYG000001299.fna,MGYG000001299.fna.gz
MGYG000001300,Isolate,3127383,25,296445,56.23,100,0,94.12,99.74,99.83,20,GUT_GENOME095967,MGYG000001300,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001300/genome/MGYG000001300.fna,MGYG000001300.fna.gz
MGYG000001301,Isolate,1703872,16,505805,28.65,98.48,1.02,0,99.67,83.21,20,GUT_GENOME095968,MGYG000001301,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Parvimonas;s__Parvimonas micra,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001301/genome/MGYG000001301.fna,MGYG000001301.fna.gz
MGYG000001302.1,Isolate,2548929,11,626692,53.26,99.52,0.96,94.96,99.67,99.69,20,GUT_GENOME095971,MGYG000001302.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001302.1/genome/MGYG000001302.1.fna,MGYG000001302.1.fna.gz
MGYG000001303,Isolate,3622605,41,158586,46.32,99.42,0,0,99.67,99.73,20,GUT_GENOME095973,MGYG000001303,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_AP;s__Clostridium_AP scindens,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001303/genome/MGYG000001303.fna,MGYG000001303.fna.gz
MGYG000001304,Isolate,2507885,12,380632,28.57,100,0,70.59,91.45,63.56,20,GUT_GENOME095977,MGYG000001304,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium spiroforme,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001304/genome/MGYG000001304.fna,MGYG000001304.fna.gz
MGYG000001305,Isolate,2284703,5,1288597,33.34,98.59,1.41,94.12,99.67,99.79,20,GUT_GENOME095978,MGYG000001305,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae;g__Anaerofustis;s__Anaerofustis stercorihominis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001305/genome/MGYG000001305.fna,MGYG000001305.fna.gz
MGYG000001306,Isolate,4300117,90,92375,41.83,98.88,0,0,99.67,99.62,20,GUT_GENOME095979,MGYG000001306,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprocola,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001306/genome/MGYG000001306.fna,MGYG000001306.fna.gz
MGYG000001307,Isolate,4610361,52,361783,41.22,100,0.54,94.96,99.67,99.86,20,GUT_GENOME095980,MGYG000001307,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Providencia;s__Providencia stuartii,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001307/genome/MGYG000001307.fna,MGYG000001307.fna.gz
MGYG000001308,Isolate,1925187,21,144901,37.57,99.63,0,94.12,99.74,99.76,18,GUT_GENOME095981,MGYG000001308,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus infantarius,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001308/genome/MGYG000001308.fna,MGYG000001308.fna.gz
MGYG000001309,Isolate,4102325,2,2710723,28.02,100,0,94.96,99.74,99.83,20,GUT_GENOME095982,MGYG000001309,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_F;s__Clostridium_F botulinum_A,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001309/genome/MGYG000001309.fna,MGYG000001309.fna.gz
MGYG000001310,Isolate,2731235,47,91712,42.67,99.42,0,0,99.67,99.62,20,GUT_GENOME095983,MGYG000001310,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter lactaris,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001310/genome/MGYG000001310.fna,MGYG000001310.fna.gz
MGYG000001311,Isolate,6548966,108,1264802,49.87,99.37,1.27,0,99.67,99.79,20,GUT_GENOME095986,MGYG000001311,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp000155435,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001311/genome/MGYG000001311.fna,MGYG000001311.fna.gz
MGYG000001312,Isolate,1951667,44,277479,33.58,98.47,0,0,99.74,99.66,20,GUT_GENOME095989,MGYG000001312,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_D;s__Helicobacter_D pullorum,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001312/genome/MGYG000001312.fna,MGYG000001312.fna.gz
MGYG000001313,Isolate,4197635,20,1194706,44.16,99.24,0,94.96,99.67,99.59,20,GUT_GENOME095991,MGYG000001313,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001313/genome/MGYG000001313.fna,MGYG000001313.fna.gz
MGYG000001314,Isolate,3028326,9,2528381,41.89,93.06,0,0,99.67,99.79,19,GUT_GENOME095992,MGYG000001314,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bacteroides_F;s__Bacteroides_F pectinophilus,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001314/genome/MGYG000001314.fna,MGYG000001314.fna.gz
MGYG000001315,Isolate,3242215,13,847455,42.45,99.42,0,90.76,99.67,99.62,20,GUT_GENOME095993,MGYG000001315,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus comes,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001315/genome/MGYG000001315.fna,MGYG000001315.fna.gz
MGYG000001316,Isolate,2577056,6,1483428,58.01,100,0.31,94.12,99.74,99.76,20,GUT_GENOME095994,MGYG000001316,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella multacida,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001316/genome/MGYG000001316.fna,MGYG000001316.fna.gz
MGYG000001317,Isolate,5154159,10,2724488,52.65,99.87,0.07,95.8,99.67,99.86,20,GUT_GENOME095995,MGYG000001317,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter portucalensis_A,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001317/genome/MGYG000001317.fna,MGYG000001317.fna.gz
MGYG000001318,Isolate,4638653,10,1031480,55.81,99.98,0.04,95.8,99.67,99.86,20,GUT_GENOME095996,MGYG000001318,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cancerogenus,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001318/genome/MGYG000001318.fna,MGYG000001318.fna.gz
MGYG000001319,Isolate,2496039,31,399583,37.55,99.33,0.67,0,99.67,99.83,20,GUT_GENOME095997,MGYG000001319,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A;s__Butyrivibrio_A crossotus,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001319/genome/MGYG000001319.fna,MGYG000001319.fna.gz
MGYG000001320,Isolate,2479772,26,575376,30.31,100,0,0,71.17,95.59,14,GUT_GENOME095999,MGYG000001320,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter hiranonis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001320/genome/MGYG000001320.fna,MGYG000001320.fna.gz
MGYG000001321,Isolate,2867216,47,492021,62.15,99.41,0.59,93.28,99.35,96.41,20,GUT_GENOME096004,MGYG000001321,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio piger,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001321/genome/MGYG000001321.fna,MGYG000001321.fna.gz
MGYG000001322,Isolate,3245471,11,2385595,57.77,96.77,0,94.96,99.74,99.83,20,GUT_GENOME096020,MGYG000001322,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger variabilis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001322/genome/MGYG000001322.fna,MGYG000001322.fna.gz
MGYG000001323,Isolate,4764068,32,446177,40.02,100,0.54,94.96,99.67,99.86,20,GUT_GENOME096025,MGYG000001323,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Providencia;s__Providencia rettgeri_D,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001323/genome/MGYG000001323.fna,MGYG000001323.fna.gz
MGYG000001324,Isolate,2546312,6,810876,27.24,100,0.56,0,99.67,99.52,20,GUT_GENOME096028,MGYG000001324,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium periodonticum_D,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001324/genome/MGYG000001324.fna,MGYG000001324.fna.gz
MGYG000001325,Isolate,1930430,28,965540,30.9,100,0,0,99.35,98.02,19,GUT_GENOME096029,MGYG000001325,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_C;s__Fusobacterium_C gonidiaformans,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001325/genome/MGYG000001325.fna,MGYG000001325.fna.gz
MGYG000001326,Isolate,2514029,2,2507720,26.96,100,0,0,99.67,99.32,20,GUT_GENOME096031,MGYG000001326,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium animalis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001326/genome/MGYG000001326.fna,MGYG000001326.fna.gz
MGYG000001327,Isolate,3487504,8,1045785,30.34,100,2.25,85.71,99.67,99.66,20,GUT_GENOME096033,MGYG000001327,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A ulcerans,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001327/genome/MGYG000001327.fna,MGYG000001327.fna.gz
MGYG000001328,Isolate,3813122,5,3226588,27.76,100,0,94.96,99.74,99.83,20,GUT_GENOME096036,MGYG000001328,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium tertium,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001328/genome/MGYG000001328.fna,MGYG000001328.fna.gz
MGYG000001329,Isolate,2530521,9,728840,34.7,96.82,0.7,0,99.74,99.66,20,GUT_GENOME096039,MGYG000001329,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_A;s__Helicobacter_A rappini,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001329/genome/MGYG000001329.fna,MGYG000001329.fna.gz
MGYG000001330,Isolate,1690216,21,583100,34.74,99.71,0,0,99.74,99.66,20,GUT_GENOME096040,MGYG000001330,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_D;s__Helicobacter_D winghamensis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001330/genome/MGYG000001330.fna,MGYG000001330.fna.gz
MGYG000001331,Isolate,2436766,9,2424267,49.21,100,0.96,0,99.61,99.76,20,GUT_GENOME096042,MGYG000001331,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Oxalobacter;s__Oxalobacter formigenes,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001331/genome/MGYG000001331.fna,MGYG000001331.fna.gz
MGYG000001332,Isolate,3478423,17,779329,50.74,98.88,0,91.6,99.74,99.83,19,GUT_GENOME096045,MGYG000001332,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilioclostridium;s__Massilioclostridium methylpentosum,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001332/genome/MGYG000001332.fna,MGYG000001332.fna.gz
MGYG000001333.1,Isolate,3144174,104,737616,39.14,99.38,0.31,0,99.61,99.83,20,GUT_GENOME096049,MGYG000001333.1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lentilactobacillus;s__Lentilactobacillus hilgardii,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001333.1/genome/MGYG000001333.1.fna,MGYG000001333.1.fna.gz
MGYG000001334,Isolate,2108740,7,1099846,43.63,99.37,0,88.24,99.74,0,19,GUT_GENOME096055,MGYG000001334,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus ruminis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001334/genome/MGYG000001334.fna,MGYG000001334.fna.gz
MGYG000001335,Isolate,2248406,48,475421,34.69,98.9,0,93.28,99.67,99.83,19,GUT_GENOME096056,MGYG000001335,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus ultunensis,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001335/genome/MGYG000001335.fna,MGYG000001335.fna.gz
MGYG000001336,Isolate,2316838,5,2264399,39.04,99.46,0,0,99.67,99.83,20,GUT_GENOME096057,MGYG000001336,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri_E,https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut//v2.0.2/species_catalogue/MGYG0000013/MGYG000001336/genome/MGYG000001336.fna,MGYG000001336.fna.gz
